Timestamp,Observer,Date,Site Name,Type of Survey,Start Time,End Time,Start Temp Shade,Start Temp Sun,End Temp Shade,End Temp Sun,Clouds,Site Description/Comments,Pygmy Short-Horned Lizard,Sagebrush Lizard,Western Fence Lizard,Great Basin Fence Lizard,UnID Scleropus,UnID Lizard,Western skink,Desert horned lizard,UnID Horned Lizard,UnID snake,Rubber boa,Great Basin Rattlesnake,Other:,GPS Waypoints
,EW,6/7/23,DVS,Distance,12:48,12:59,78.4,109.7,69.6,95.3,2,"Upland out of fence. 2 people parallel 15ft apart length of fence line on upland-out of fence. Line starting at DVSCAM1 waypt, walking transect stopped at DVSCAM3 walking transect",,,,,,,,,,,,,,"Start: 11T 0259355, 4579180 End: 11T 0259389, 4578922"
,GP,7/9/23,BBS,Timed,17:10,17:25,,,,,,"Water line,grassy meadow, sage, willow, springs, wildflowers, timed survey Start: 41.32856, -119.873119, heading NE",,,,,,,,,,,,,Tadpoles 3x,
,GP,7/9/23,BBS,Timed,18:04,18:19,,,,,,"Upland line, sage, aspen, juniper, snowberry, ribies. Start: 41.31841, -119.88524",,,,,,,,,,,,,,
,EW,7/9/23,BBS,Timed,17:10,17:25,,,,,1,"Water line. Grass with some willow, sage, snowberry. Start: 41.32856, -119.87349 followed water NE",,,,,,,,,,,,,"Tadpoles ~10 41.31854, -119.88394",
,EW,7/9/23,BBS,Timed,18:05,18:20,,,,,1,"Upland line. Aspen, juniper, Ribes sp., Snowberry. Start: 41.31841, -119.88524, heading North",,,,,,,,,,,,,,
,GP,7/7/23,UIS,Timed,10:15,10:30,,,,,1,"UOF line. Sage brush with some juniper. Start at ""ARU D"" waypt",,,,,,,,,,,,,,
,GP,7/7/23,UIS,Timed,10:36,10:51,,,,,1,"Water line. Water, sage, poaceae, willow. Start: 41.266110, -119.88264",,,,,,,,,,,,,,
,GP,7/7/23,UIS,Timed,11:17,11:32,,,,,1,"UIF line. Thick brush, juniper, sage, mountain mahogany, wood rose. Start: 41.26640, -119.88412",,,,,,,,,,,,,,
,EW,7/7/23,UIS,Timed,10:15,10:30,,,,,1,"UOF line. sagebrush with intermittent juniper. SUrvey start at ""ARU D"" waypt",,,,,,,,,,,,,,
,EW,7/7/23,UIS,Timed,10:36,10:51,,,,,1,"Water line. Grassy meadow with some willow. Start at 41.26611, -119.88264",,,,,,,,,,,,,,
,EW,7/7/23,UIS,Timed,11:17,11:32,,,,,1,"UIF line.Thicker brush, wood rose, mountain mahogany, sage. Start: 41.26640, -119.88412",,,,,,,,,,,,,,
,GP,7/9/23,DVS,Timed,10:35,10:50,,,,,0,"UOF line. Sage-scrub. Rocky outcrops, juniper, rabbit brush. Start: 41.327809, -119.875261, headed North",,,,,,,,,,,,,,
,GP,7/9/23,DVS,Timed,10:59,11:14,78.2,91.2,68.9,83.3,0,"Water line. Wet meadow, spring, sage. Start: 41.32876, -119.87322, heading South",,,,,,,,,,,,,,
,GP,7/9/23,DVS,Timed,11:40,11:55,82.5,92.8,78.4,122.9,0,"UIF line. Sage, rabbit brush, poaceae. Start: 41.32738, -119.87231",,,,,,,,,,,,,,
,EW,7/9/23,DVS,Timed,10:35,10:50,,,,,0,"UOF line. Sage, juniper, wood rose, rabbit brush. Start: 41.327809, -119.875261 heading North",,,,,,,,,,,,,,
,EW,7/9/23,DVS,Timed,10:59,11:14,78.2,91.2,68.9,83.3,0,"Water line. Tall grass, some sage. Start: 41.32876, -119.87322 heading South",,,,,,,,,,,,,,
,EW,7/9/23,DVS,Timed,11:39,11:54,82.5,92.8,78.4,122.9,0,"UIF line. Sage, rabbit brush. Start: 41.32738, -119.87231 heading South",,,,,,,,,,,,,,
