"","Spring","Line.Folder","Line","FolderName","Subfolder","CamID","First.Photo.Date","First.Snow","When.does.snow.melt.","What.date.is.maximum.snow.depth","Does.snow.return..when.","When.is.date.of.final.snow.","What.is.date.of.last.photo.","check.unID.","species","Detection.Dates","Taxa","Date"
"46","UIS","102","Spring","P3","102MEDIA",8,2022-07-29,NA,NA,NA,NA,NA,2022-07-31,NA,"Cows","7/29/22","Mammals",2022-07-29
"47","UIS","102","Spring","P3","102MEDIA",8,2022-07-29,NA,NA,NA,NA,NA,2022-07-31,NA,"Cows"," 7/30/22","Mammals",2022-07-30
"48","UIS","102","Spring","P3","102MEDIA",8,2022-07-29,NA,NA,NA,NA,NA,2022-07-31,NA,"Cows"," 7/31/22","Mammals",2022-07-31
"49","DVS","100","UIF","P2","100MEDIA",9,2022-05-04,NA,NA,NA,NA,NA,2022-06-23,NA,"Cows","6/6/22","Mammals",2022-06-06
"50","DVS","100","UIF","P2","100MEDIA",9,2022-05-04,NA,NA,NA,NA,NA,2022-06-23,NA,"Cows"," 6/11/22","Mammals",2022-06-11
"51","DVS","100","UIF","P2","100MEDIA",9,2022-05-04,NA,NA,NA,NA,NA,2022-06-23,NA,"Cows"," 6/14/22","Mammals",2022-06-14
"52","DVS","100","UIF","P2","100MEDIA",9,2022-05-04,NA,NA,NA,NA,NA,2022-06-23,NA,"Cows"," 6/16/22","Mammals",2022-06-16
"53","DVS","100","UIF","P2","100MEDIA",9,2022-05-04,NA,NA,NA,NA,NA,2022-06-23,NA,"Cows"," 6/21/22","Mammals",2022-06-21
"54","DVS","102","UIF","P2","102MEDIA",9,2022-06-29,NA,NA,NA,NA,NA,2022-07-02,NA,"Cows","6/30/22","Mammals",2022-06-30
"55","DVS","103","UIF","P2","103MEDIA",9,2022-07-02,NA,NA,NA,NA,NA,2022-07-07,NA,"Cows","7/5/22","Mammals",2022-07-05
"56","DVS","103","UIF","P2","103MEDIA",9,2022-07-02,NA,NA,NA,NA,NA,2022-07-07,NA,"Cows"," 7/6/22","Mammals",2022-07-06
"57","DVS","104","UIF","P2","104MEDIA",9,2022-07-07,NA,NA,NA,NA,NA,2022-07-10,NA,"Cows","7/7/22","Mammals",2022-07-07
"58","DVS","104","UIF","P2","104MEDIA",9,2022-07-07,NA,NA,NA,NA,NA,2022-07-10,NA,"Cows"," 7/8/22","Mammals",2022-07-08
"59","DVS","104","UIF","P2","104MEDIA",9,2022-07-07,NA,NA,NA,NA,NA,2022-07-10,NA,"Cows"," 7/9/22","Mammals",2022-07-09
"60","DVS","105","UIF","P2","105MEDIA",9,2022-07-10,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows","7/10/22","Mammals",2022-07-10
"61","DVS","105","UIF","P2","105MEDIA",9,2022-07-10,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 7/11/22","Mammals",2022-07-11
"62","DVS","IF SE Facing","UIF","DVS_InsideFence_SoutheastFacing","100MEDIA",10,2022-06-04,NA,NA,NA,NA,NA,2022-06-28,NA,"Cows","6/11/22","Mammals",2022-06-11
"63","DVS","IF SE Facing","UIF","DVS_InsideFence_SoutheastFacing","100MEDIA",10,2022-06-04,NA,NA,NA,NA,NA,2022-06-28,NA,"Cows"," 6/13/22","Mammals",2022-06-13
"64","DVS","IF SE Facing","UIF","DVS_InsideFence_SoutheastFacing","100MEDIA",10,2022-06-04,NA,NA,NA,NA,NA,2022-06-28,NA,"Cows"," 6/14/22","Mammals",2022-06-14
"65","DVS","IF SE Facing","UIF","DVS_InsideFence_SoutheastFacing","100MEDIA",10,2022-06-04,NA,NA,NA,NA,NA,2022-06-28,NA,"Cows"," 6/15/22","Mammals",2022-06-15
"66","DVS","IF SE Facing","UIF","DVS_InsideFence_SoutheastFacing","100MEDIA",10,2022-06-04,NA,NA,NA,NA,NA,2022-06-28,NA,"Cows"," 6/16/22","Mammals",2022-06-16
"67","DVS","IF SE Facing","UIF","DVS_InsideFence_SoutheastFacing","100MEDIA",10,2022-06-04,NA,NA,NA,NA,NA,2022-06-28,NA,"Cows"," 6/17/22","Mammals",2022-06-17
"68","BBS","TRI1 cam38 100","Spring","BBSTRI1_BBcam38","100EK113",11,2022-06-26,NA,NA,NA,NA,NA,2022-06-29,NA,"Cows","6/27/22","Mammals",2022-06-27
"69","BBS","TRI1 cam38: 103","Spring","BBSTRI1_BBcam38","103EK113",11,2022-07-04,NA,NA,NA,NA,NA,2022-07-06,NA,"Cows","7/5/22","Mammals",2022-07-05
"70","BBS","TRI1 cam38: 103","Spring","BBSTRI1_BBcam38","103EK113",11,2022-07-04,NA,NA,NA,NA,NA,2022-07-06,NA,"Cows"," 7/6/22","Mammals",2022-07-06
"71","BBS","TRI1 cam38: 104","Spring","BBSTRI1_BBcam38","104EK113",11,2022-07-06,NA,NA,NA,NA,NA,2022-07-07,NA,"Cows","1/1/18","Mammals",2018-01-01
"72","BBS","TRI1 cam38: 104","Spring","BBSTRI1_BBcam38","104EK113",11,2022-07-06,NA,NA,NA,NA,NA,2022-07-07,NA,"Cows"," 7/6/22","Mammals",2022-07-06
"73","BBS","TRI1 cam38: 105","Spring","BBSTRI1_BBcam38","105EK113",11,2018-01-01,NA,NA,NA,NA,NA,2018-01-01,NA,"Cows","1/1/18","Mammals",2018-01-01
"74","BBS","CAM4 AACAM: 100","Spring","UCCAM4_AACAM","100EK113",12,2022-05-06,NA,NA,NA,NA,NA,2022-06-01,NA,"Cows","1/1/18","Mammals",2018-01-01
"75","BBS","CAM4 AACAM: 100","Spring","UCCAM4_AACAM","100EK113",12,2022-05-06,NA,NA,NA,NA,NA,2022-06-01,NA,"Cows"," 5/31/22","Mammals",2022-05-31
"76","BBS","CAM4 AACAM: 100","Spring","UCCAM4_AACAM","100EK113",12,2022-05-06,NA,NA,NA,NA,NA,2022-06-01,NA,"Cows"," 6/1/22","Mammals",2022-06-01
"77","BBS","CAM4 AACAM: 100","Spring","UCCAM4_AACAM","100EK113",12,2022-05-06,NA,NA,NA,NA,NA,2022-06-01,NA,"Cows","","Mammals",NA
"78","UC","CAM4 AACAM: 100","Spring","UCCAM4_AACAM","100EK113",13,2022-08-06,NA,NA,NA,NA,NA,2022-08-07,NA,"Cows","8/6/22","Mammals",2022-08-06
"79","UC","CAM4 AACAM: 105","Spring","UCCAM4_AACAM","105EK113",13,2022-08-10,NA,NA,NA,NA,NA,2022-08-11,NA,"Cows","8/11/22","Mammals",2022-08-11
"80","UC","CAM4 AACAM: 106","Spring","UCCAM4_AACAM","106EK113",13,2022-08-11,NA,NA,NA,NA,NA,2022-08-11,NA,"Cows","8/11/22","Mammals",2022-08-11
"81","UC","CAM4 AACAM: 107","Spring","UCCAM4_AACAM","107EK113",13,2022-08-11,NA,NA,NA,NA,NA,2022-08-11,NA,"Cows","8/11/22","Mammals",2022-08-11
"82","UC","CAM4 AACAM: 108","Spring","UCCAM4_AACAM","108EK113",13,2022-08-11,NA,NA,NA,NA,NA,2022-08-11,NA,"Cows","8/11/22","Mammals",2022-08-11
"83","UIS","CAM1 UIC1: 100","Spring","UISCAMI_UIC1","100EK113",14,2022-05-05,NA,NA,NA,NA,NA,2022-07-27,NA,"Cows","5/7/22","Mammals",2022-05-07
"84","UIS","CAM1 UIC1: 100","Spring","UISCAMI_UIC1","100EK113",14,2022-05-05,NA,NA,NA,NA,NA,2022-07-27,NA,"Cows"," 5/12/22","Mammals",2022-05-12
"85","UIS","CAM1 UIC1: 100","Spring","UISCAMI_UIC1","100EK113",14,2022-05-05,NA,NA,NA,NA,NA,2022-07-27,NA,"Cows"," 5/18/22","Mammals",2022-05-18
"86","UIS","CAM1 UIC1: 100","Spring","UISCAMI_UIC1","100EK113",14,2022-05-05,NA,NA,NA,NA,NA,2022-07-27,NA,"Cows"," 5/22/22","Mammals",2022-05-22
"87","UIS","CAM1 UIC1: 100","Spring","UISCAMI_UIC1","100EK113",14,2022-05-05,NA,NA,NA,NA,NA,2022-07-27,NA,"Cows"," 6/17/22","Mammals",2022-06-17
"88","UIS","CAM1 UIC1: 100","Spring","UISCAMI_UIC1","100EK113",14,2022-05-05,NA,NA,NA,NA,NA,2022-07-27,NA,"Cows"," 6/23/22","Mammals",2022-06-23
"89","UIS","CAM1 UIC1: 100","Spring","UISCAMI_UIC1","100EK113",14,2022-05-05,NA,NA,NA,NA,NA,2022-07-27,NA,"Cows"," 7/22/22","Mammals",2022-07-22
"90","UIS","CAM1 UIC1: 100","Spring","UISCAMI_UIC1","100EK113",14,2022-05-05,NA,NA,NA,NA,NA,2022-07-27,NA,"Cows"," 7/24/22","Mammals",2022-07-24
"91","UIS","CAM1 UIC1: 100","Spring","UISCAMI_UIC1","100EK113",14,2022-05-05,NA,NA,NA,NA,NA,2022-07-27,NA,"Cows"," 7/26/22","Mammals",2022-07-26
"92","UIS","CAM1 UIC1: 100","Spring","UISCAMI_UIC1","100EK113",14,2022-05-05,NA,NA,NA,NA,NA,2022-07-27,NA,"Cows"," 7/27/22","Mammals",2022-07-27
"93","UIS","CAM1 UIC1: 101","Spring","UISCAMI_UIC1","101EK113",14,2022-07-27,NA,NA,NA,NA,NA,2022-08-02,NA,"Cows","7/27/22","Mammals",2022-07-27
"94","UIS","CAM1 UIC1: 101","Spring","UISCAMI_UIC1","101EK113",14,2022-07-27,NA,NA,NA,NA,NA,2022-08-02,NA,"Cows"," 7/28/22","Mammals",2022-07-28
"95","UIS","CAM1 UIC1: 101","Spring","UISCAMI_UIC1","101EK113",14,2022-07-27,NA,NA,NA,NA,NA,2022-08-02,NA,"Cows"," 7/29/22","Mammals",2022-07-29
"96","UIS","CAM1 UIC1: 101","Spring","UISCAMI_UIC1","101EK113",14,2022-07-27,NA,NA,NA,NA,NA,2022-08-02,NA,"Cows"," 7/30/22","Mammals",2022-07-30
"97","UIS","CAM1 UIC:1 105","Spring","UISCAMI_UIC1","105EK113",14,2022-08-05,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows","8/7/22","Mammals",2022-08-07
"98","UIS","CAM1 UIC1: 110","Spring","UISCAMI_UIC1","110EK113",14,2022-08-13,NA,NA,NA,NA,NA,2022-08-13,NA,"Cows","8/13/22","Mammals",2022-08-13
"99","UIS","CAM1 UIC1: 130","Spring","UISCAMI_UIC1","130EK113",14,2022-08-29,NA,NA,NA,NA,NA,2022-08-29,NA,"Cows","8/29/22","Mammals",2022-08-29
"100","UIS","CAM1 UIC1: 131","Spring","UISCAMI_UIC1","131EK113",14,2022-08-29,NA,NA,NA,NA,NA,2022-08-30,NA,"Cows","8/29/22","Mammals",2022-08-29
"101","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows","5/1/22","Mammals",2022-05-01
"102","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 6/11/22","Mammals",2022-06-11
"103","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 6/16/22","Mammals",2022-06-16
"104","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 6/17/22","Mammals",2022-06-17
"105","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 6/18/22","Mammals",2022-06-18
"106","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 6/20/22","Mammals",2022-06-20
"107","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 6/21/22","Mammals",2022-06-21
"108","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 6/23/22","Mammals",2022-06-23
"109","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 6/25/22","Mammals",2022-06-25
"110","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 7/6/22","Mammals",2022-07-06
"111","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 7/7/22","Mammals",2022-07-07
"112","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 7/10/22","Mammals",2022-07-10
"113","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 7/11/22","Mammals",2022-07-11
"114","BBS","CAM3 P12: 100","Upland","BBSCAM3_P12","100MEDIA",15,2022-05-04,NA,NA,NA,NA,NA,2022-07-13,NA,"Cows"," 7/13/22","Mammals",2022-07-13
"115","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows","4/7/22","Mammals",2022-04-07
"116","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/14/22","Mammals",2022-07-14
"117","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/15/22","Mammals",2022-07-15
"118","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/16/22","Mammals",2022-07-16
"119","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/17/22","Mammals",2022-07-17
"120","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/18/22","Mammals",2022-07-18
"121","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/19/22","Mammals",2022-07-19
"122","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/20/22","Mammals",2022-07-20
"123","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/21/22","Mammals",2022-07-21
"124","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/22/22","Mammals",2022-07-22
"125","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/23/22","Mammals",2022-07-23
"126","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/24/22","Mammals",2022-07-24
"127","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/25/22","Mammals",2022-07-25
"128","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/26/22","Mammals",2022-07-26
"129","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/27/22","Mammals",2022-07-27
"130","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/28/22","Mammals",2022-07-28
"131","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/29/22","Mammals",2022-07-29
"132","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/30/22","Mammals",2022-07-30
"133","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 7/31/22","Mammals",2022-07-31
"134","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 8/2/22","Mammals",2022-08-02
"135","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 8/3/22","Mammals",2022-08-03
"136","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 8/4/22","Mammals",2022-08-04
"137","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 8/7/22","Mammals",2022-08-07
"138","BBS","CAM3 P12: 101","Upland","BBSCAM3_P12","101MEDIA",15,2022-07-13,NA,NA,NA,NA,NA,2022-09-17,NA,"Cows"," 8/28/22","Mammals",2022-08-28
"139","BBS","CAM4 P11: 100","Upland","BBSCAM4_P11","100MEDIA",16,2022-05-04,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows","6/23/22","Mammals",2022-06-23
"140","BBS","CAM4 P11: 100","Upland","BBSCAM4_P11","100MEDIA",16,2022-05-04,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows"," 6/24/22","Mammals",2022-06-24
"141","BBS","CAM4 P11: 100","Upland","BBSCAM4_P11","100MEDIA",16,2022-05-04,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows"," 7/17/22","Mammals",2022-07-17
"142","BBS","CAM4 P11: 100","Upland","BBSCAM4_P11","100MEDIA",16,2022-05-04,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows"," 7/21/22","Mammals",2022-07-21
"143","BBS","CAM4 P11: 100","Upland","BBSCAM4_P11","100MEDIA",16,2022-05-04,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows"," 7/26/22","Mammals",2022-07-26
"144","BBS","CAM4 P11: 100","Upland","BBSCAM4_P11","100MEDIA",16,2022-05-04,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows"," 7/27/22","Mammals",2022-07-27
"145","BBS","CAM4 P11: 100","Upland","BBSCAM4_P11","100MEDIA",16,2022-05-04,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows"," 7/28/22","Mammals",2022-07-28
"146","BBS","CAM4 P11: 100","Upland","BBSCAM4_P11","100MEDIA",16,2022-05-04,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows"," 7/30/22","Mammals",2022-07-30
"147","BBS","CAM4 P11: 100","Upland","BBSCAM4_P11","100MEDIA",16,2022-05-04,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows"," 7/31/22","Mammals",2022-07-31
"148","BBS","CAM4 P11: 100","Upland","BBSCAM4_P11","100MEDIA",16,2022-05-04,NA,NA,NA,NA,NA,2022-08-10,NA,"Cows"," 8/1/22","Mammals",2022-08-01
